Name,Address,Coordinates
Azul Eco Laundromat,"477 Fulton St, San Francisco, CA 94102","37.77961970015299, -122.42443622662205"
Eighth Street Laundry,"164 8th St, San Francisco, CA 94103","37.77772020459936, -122.4123341008591"
Rinse - Laundry & Dry Cleaning Delivery,"1000 Brannan St #100, San Francisco, CA 94103","37.77073235452204, -122.40769924418393"
Coin operated laundromat,"106 6th St, San Francisco, CA 94103","37.78151914689693, -122.407956731835"
First Coin Laundry,"365 Eddy St, San Francisco, CA 94102","37.784232557573915, -122.41344989589538"
Rainbow Coin Laundromat,"302 Hyde St, San Francisco, CA 94109","37.78463956058364, -122.41585315517179"
