name,address,coordinates
CPMC Davies Campus,"601 Duboce Ave, San Francisco, CA 94114","37.769619865146254, -122.4350375779087"
UCSF Health Saint Francis Hospital,"900 Hyde St, San Francisco, CA 94109","37.79051392112485, -122.41658397989335"
Sound Speech and Hearing Clinic,"251 Rhode Island St #101, San Francisco, CA 94103","37.76792365990662, -122.40267940836551"
Zuckerberg San Francisco General Hospital and Trauma Center,"1001 Potrero Ave, San Francisco, CA 94110","37.7570232934179, -122.40564953524554"
UCSF Medical Center at Mission Bay,"1975 4th St, San Francisco, CA 94158","37.76985817233827, -122.39271802458302"
Chinese Hospital,"845 Jackson St, San Francisco, CA 94133","37.79834851063266, -122.40919751676418"
